,Accident_Severity,Number_of_Casualties,Day_of_Week,Speed_limit
0,2,1,3,30
1,3,1,4,30
2,3,1,5,30
3,3,1,6,30
4,3,1,2,30
5,3,1,3,30
6,3,1,5,30
7,3,2,6,30
8,3,2,7,30
9,3,5,7,30
10,3,1,1,30
11,3,1,3,30
12,3,1,3,30
13,3,1,3,30
14,3,2,3,30
15,3,1,3,30
16,2,1,5,30
17,3,1,6,30
18,3,1,6,30
19,2,1,7,30
20,3,1,2,30
21,3,1,2,30
22,3,1,2,30
23,3,1,3,30
24,3,1,7,30
25,3,1,4,30
26,3,1,1,30
27,3,2,7,30
28,3,1,3,30
29,3,1,4,30
30,2,2,3,30
31,3,1,5,30
32,3,1,7,30
33,3,2,5,30
34,3,1,3,30
35,3,2,5,30
36,3,1,5,30
37,3,1,1,30
38,3,1,7,30
39,3,1,5,30
40,3,1,6,30
41,3,1,2,30
42,3,1,7,30
43,3,1,3,30
44,3,1,4,30
45,3,1,2,30
46,3,1,5,30
47,3,1,7,30
48,3,2,1,30
49,3,1,3,30
50,3,1,5,30
51,3,1,6,30
52,2,1,3,30
53,3,1,4,30
54,3,1,6,30
55,3,1,3,30
56,3,1,5,30
57,3,1,4,30
58,3,1,2,30
59,3,1,1,30
60,3,1,3,30
61,3,2,2,30
62,3,1,1,30
63,3,2,1,30
64,3,2,7,30
65,3,1,2,30
66,3,1,5,30
67,3,1,3,30
68,3,1,4,30
69,3,1,7,30
70,3,1,5,30
71,3,1,6,30
72,3,1,4,30
73,3,1,7,30
74,3,1,4,30
75,3,1,6,30
76,3,1,6,30
77,3,1,6,30
78,3,1,6,30
79,3,1,3,30
80,3,1,2,30
81,3,1,3,30
82,3,1,2,30
83,3,1,4,30
84,3,1,5,30
85,2,1,3,30
86,3,1,3,30
87,3,4,7,30
88,3,1,3,30
89,3,1,3,30
90,3,1,5,30
91,2,1,7,30
92,3,1,7,30
93,3,1,3,30
94,3,1,1,30
95,3,1,3,30
96,3,1,3,30
97,3,1,4,30
98,3,2,4,30
99,3,1,2,30
100,3,1,5,30
101,3,1,1,30
102,3,1,3,30
103,3,1,2,30
104,3,1,3,30
105,2,1,3,30
106,2,1,4,30
107,3,2,6,30
108,3,1,4,30
109,3,2,5,30
110,3,1,5,30
111,3,1,5,30
112,3,1,1,30
113,2,1,4,30
114,3,1,5,30
115,3,2,1,30
116,3,1,2,30
117,3,1,6,30
118,3,1,1,30
119,3,1,4,30
120,3,1,5,30
121,3,1,4,30
122,3,1,5,30
123,3,1,5,30
124,3,1,5,30
125,3,1,2,30
126,3,1,6,30
127,3,1,5,30
128,3,1,5,30
129,3,1,4,30
130,3,1,4,30
131,3,1,5,30
132,3,1,2,30
133,3,1,7,30
134,3,1,7,30
135,3,1,5,30
136,3,1,7,30
137,2,1,5,30
138,3,1,5,30
139,3,1,5,30
140,3,1,5,30
141,3,1,4,30
142,3,1,3,30
143,3,1,6,30
144,3,1,7,30
145,3,1,4,30
146,2,1,6,30
147,3,1,4,30
148,2,1,2,30
149,3,1,6,30
150,3,1,6,30
151,3,1,6,30
152,3,1,1,30
153,3,1,1,30
154,3,1,3,30
155,3,1,1,30
156,3,1,3,30
157,3,1,4,30
158,3,1,5,30
159,3,1,4,30
160,3,1,7,30
161,3,2,7,30
162,3,1,6,30
163,3,1,5,30
164,3,1,5,30
165,3,1,2,30
166,3,1,4,30
167,3,1,3,30
168,3,1,1,30
169,3,1,4,30
170,2,1,7,30
171,3,1,1,30
172,3,1,7,30
173,3,1,7,30
174,2,1,7,30
175,3,1,4,40
176,3,1,1,30
177,3,1,7,30
178,3,1,6,30
179,3,1,4,30
180,3,1,2,30
181,3,1,1,30
182,3,1,2,30
183,3,1,7,30
184,3,1,7,30
185,3,1,7,30
186,3,1,5,30
187,3,1,2,30
188,3,1,2,30
189,3,1,6,30
190,3,1,2,30
191,3,1,4,30
192,3,1,6,30
193,3,1,4,30
194,3,1,5,30
195,3,1,5,30
196,3,1,4,30
197,2,1,5,30
198,3,1,6,30
199,3,1,3,30
200,3,1,6,30
201,2,1,3,30
202,3,1,7,30
203,3,1,5,30
204,3,1,1,30
205,3,1,5,30
206,3,1,7,30
207,3,1,5,30
208,2,1,1,30
209,3,1,7,30
210,3,1,7,30
211,3,1,5,30
212,3,1,6,40
213,2,1,1,30
214,3,1,2,30
215,3,2,1,30
216,3,1,5,30
217,3,1,2,30
218,3,1,1,30
219,3,1,7,30
220,3,1,5,30
221,3,1,4,30
222,3,1,1,30
223,3,1,6,30
224,3,1,7,30
225,3,1,4,30
226,3,1,2,30
227,3,1,5,30
228,3,1,4,30
229,3,1,5,30
230,2,1,7,30
231,3,1,4,30
232,3,1,5,30
233,3,1,3,30
234,3,1,7,30
235,3,1,5,30
236,3,1,5,30
237,2,1,5,30
238,3,1,7,30
239,3,1,3,30
240,3,1,6,30
241,3,1,2,30
242,3,1,5,30
243,3,1,3,30
244,3,1,3,30
245,3,1,3,30
246,3,1,1,30
247,3,1,6,30
248,3,1,5,30
249,3,1,4,30
250,3,1,5,30
251,3,2,7,30
252,3,1,4,30
253,3,1,3,30
254,3,2,5,30
255,3,1,6,30
256,3,1,4,30
257,3,1,5,30
258,3,1,2,30
259,3,1,2,30
260,2,1,5,30
261,3,1,3,30
262,3,1,4,30
263,3,1,5,30
264,3,1,4,30
265,3,2,4,30
266,2,1,4,30
267,3,1,6,30
268,3,1,4,30
269,3,1,7,30
270,2,1,5,30
271,2,1,6,30
272,2,1,5,30
273,2,1,2,30
274,3,1,5,30
275,3,1,4,30
276,3,1,6,30
277,3,1,2,30
278,3,1,6,30
279,3,1,4,30
280,3,1,7,30
281,3,1,2,30
282,3,1,4,30
283,3,1,6,30
284,3,1,3,30
285,3,1,5,30
286,3,2,4,30
287,3,1,4,30
288,3,1,4,30
289,3,1,2,30
290,3,1,4,30
291,3,1,2,30
292,2,1,7,30
293,3,1,2,30
294,3,1,2,30
295,2,1,5,30
296,3,1,5,50
297,3,2,5,30
298,3,1,3,30
299,3,1,3,30
300,3,1,5,30
301,3,1,2,30
302,3,1,2,30
303,3,1,2,30
304,3,1,6,30
305,3,1,6,30
306,3,1,5,30
307,3,1,6,30
308,3,1,3,30
309,3,3,5,30
310,3,1,5,30
311,3,1,3,30
312,3,2,4,30
313,3,1,4,30
314,2,2,4,30
315,3,1,5,30
316,3,1,2,30
317,3,1,2,30
318,3,1,5,30
319,3,1,1,30
320,3,1,1,30
321,3,1,5,30
322,3,1,2,30
323,2,2,5,30
324,3,1,2,30
325,3,1,4,30
326,3,1,3,30
